Team 1,Team 2,Winner,Margin,Ground,Match Date

Bangladesh,Zimbabwe,Zimbabwe,38 runs,Dhaka,"Jan 10, 2009"
Bangladesh,Sri Lanka,Bangladesh,5 wickets,Dhaka,"Jan 14, 2009"
Bangladesh,Sri Lanka,Sri Lanka,2 wickets,Dhaka,"Jan 16, 2009"
Bangladesh,Zimbabwe,Zimbabwe,2 wickets,Dhaka,"Jan 19, 2009"
Bangladesh,Zimbabwe,Bangladesh,6 wickets,Dhaka,"Jan 21, 2009"
Bangladesh,Zimbabwe,Bangladesh,6 wickets,Dhaka,"Jan 23, 2009"

West Indies,Bangladesh,Bangladesh,52 runs,Roseau,"Jul 26, 2009"
West Indies,Bangladesh,Bangladesh,3 wickets,Roseau,"Jul 28, 2009"
West Indies,Bangladesh,Bangladesh,3 wickets,Basseterre,"Jul 31, 2009"

Zimbabwe,Bangladesh,Bangladesh,8 wickets,Bulawayo,"Aug 9, 2009"
Zimbabwe,Bangladesh,Bangladesh,49 runs,Bulawayo,"Aug 11, 2009"
Zimbabwe,Bangladesh,Zimbabwe,69 runs,Bulawayo,"Aug 14, 2009"
Zimbabwe,Bangladesh,Bangladesh,4 wickets,Bulawayo,"Aug 16, 2009"
Zimbabwe,Bangladesh,Bangladesh,5 wickets,Bulawayo,"Aug 18, 2009"

Bangladesh,Zimbabwe,Zimbabwe,5 wickets,Dhaka,"Oct 27, 2009"
Bangladesh,Zimbabwe,Bangladesh,7 wickets,Dhaka,"Oct 29, 2009"
Bangladesh,Zimbabwe,Bangladesh,4 wickets,Dhaka,"Oct 31, 2009"

Bangladesh,Zimbabwe,Bangladesh,6 wickets,Chattogram,"Nov 3, 2009"
Bangladesh,Zimbabwe,Bangladesh,1 wicket,Chattogram,"Nov 5, 2009"

Bangladesh,Sri Lanka,Sri Lanka,7 wickets,Dhaka,"Jan 4, 2010"
Bangladesh,India,India,6 wickets,Dhaka,"Jan 7, 2010"
Bangladesh,Sri Lanka,Sri Lanka,9 wickets,Dhaka,"Jan 8, 2010"
Bangladesh,India,India,6 wickets,Dhaka,"Jan 11, 2010"

New Zealand,Bangladesh,New Zealand,146 runs,Napier,"Feb 5, 2010"
New Zealand,Bangladesh,New Zealand,5 wickets,Dunedin,"Feb 8, 2010"
New Zealand,Bangladesh,New Zealand,3 wickets,Christchurch,"Feb 11, 2010"
Bangladesh,England,England,6 wickets,Dhaka,"Feb 28, 2010"

Bangladesh,England,England,2 wickets,Dhaka,"Mar 2, 2010"
Bangladesh,England,England,45 runs,Chattogram,"Mar 5, 2010"

Bangladesh,India,India,6 wickets,Dambulla,"Jun 16, 2010"
Sri Lanka,Bangladesh,Sri Lanka,126 runs,Dambulla,"Jun 18, 2010"
Bangladesh,Pakistan,Pakistan,139 runs,Dambulla,"Jun 21, 2010"

England,Bangladesh,England,6 wickets,Nottingham,"Jul 8, 2010"
England,Bangladesh,Bangladesh,5 runs,Bristol,"Jul 10, 2010"
England,Bangladesh,England,144 runs,Birmingham,"Jul 12, 2010"
Ireland,Bangladesh,Ireland,7 wickets,Belfast,"Jul 15, 2010"
Ireland,Bangladesh,Bangladesh,6 wickets,Belfast,"Jul 16, 2010"
Bangladesh,Netherlands,Netherlands,6 wickets,Glasgow,"Jul 20, 2010"

Bangladesh,New Zealand,Bangladesh,9 runs,Dhaka,"Oct 5, 2010"
Bangladesh,New Zealand,Bangladesh,7 wickets,Dhaka,"Oct 11, 2010"
Bangladesh,New Zealand,Bangladesh,9 runs,Dhaka,"Oct 14, 2010"
Bangladesh,New Zealand,Bangladesh,3 runs,Dhaka,"Oct 17, 2010"

Bangladesh,Zimbabwe,Zimbabwe,9 runs,Dhaka,"Dec 1, 2010"
Bangladesh,Zimbabwe,Bangladesh,6 wickets,Dhaka,"Dec 3, 2010"
